gene	expression	threshold	direction	TH_id	Fay_id
LCAT	1.55090066465	1.56594860553741	down	TH50_5281_S01	Sample 4
LDHB	3.91360751182	4.5458557009697	down	TH50_5281_S01	Sample 4
LENG1	1.18269229752	1.39547887444496	down	TH50_5281_S01	Sample 4
LENG8	3.42760617278	4.04872095584869	down	TH50_5281_S01	Sample 4
LLNLF-173C4.1	0.250961573533	0.432680070400238	down	TH50_5281_S01	Sample 4
LUC7L3	4.28021399581	4.93976300954819	down	TH50_5281_S01	Sample 4
LY6G5B	1.31034012061	1.34122800827026	down	TH50_5281_S01	Sample 4
LYAR	1.6599245584	1.72937685251236	down	TH50_5281_S01	Sample 4
MAD2L2	3.16510798514	3.24746376276016	down	TH50_5281_S01	Sample 4
MAN2C1	4.46270675067	4.68923956155777	down	TH50_5281_S01	Sample 4
MAPK8IP3	2.73768676141	3.06568604707718	down	TH50_5281_S01	Sample 4
MFSD10	2.25398926623	2.31126472353935	down	TH50_5281_S01	Sample 4
MRFAP1	6.37138461356	6.4520211815834	down	TH50_5281_S01	Sample 4
MRPL20	5.56132613645	5.90636897087097	down	TH50_5281_S01	Sample 4
MRPL32	3.7355221773	3.93216788768768	down	TH50_5281_S01	Sample 4
MRPL33	6.94497554293	6.98584306240082	down	TH50_5281_S01	Sample 4
MRPL52	4.79337571126	4.94794297218323	down	TH50_5281_S01	Sample 4
MT-ATP6	12.4734216467	14.3011739253998	down	TH50_5281_S01	Sample 4
MT-ATP8	11.1705197401	14.7105716466904	down	TH50_5281_S01	Sample 4
MT-CO2	13.345398316	13.6593023538589	down	TH50_5281_S01	Sample 4
MT-CYB	12.8199754706	13.363657951355	down	TH50_5281_S01	Sample 4
MT-ND1	12.1500360106	13.1162256002426	down	TH50_5281_S01	Sample 4
MT-ND2	11.9903663771	13.1055195331573	down	TH50_5281_S01	Sample 4
MT-ND3	12.2979651625	12.9562729597092	down	TH50_5281_S01	Sample 4
MT-ND4	12.4885104901	13.7378146648407	down	TH50_5281_S01	Sample 4
MT-ND6	10.3365735047	10.5357081890106	down	TH50_5281_S01	Sample 4
MT-RNR1	5.90376136513	9.75198471546173	down	TH50_5281_S01	Sample 4
MT-RNR2	5.68116812042	11.9540433883667	down	TH50_5281_S01	Sample 4
MT1X	6.22747154636	6.44029021263123	down	TH50_5281_S01	Sample 4
MT2A	2.76765479824	3.81354159116745	down	TH50_5281_S01	Sample 4
