gene	expression	threshold	direction	TH_id	Fay_id	count
NACA	7.24574283475	7.47406876087189	down	TH50_5178_S01	Sample 1	3
NARF	4.07980475464	4.18123590946198	down	TH50_5178_S01	Sample 1	3
NASP	2.67129337248	3.12612390518188	down	TH50_5178_S01	Sample 1	2
NAT9	1.97085365434	2.19252410531044	down	TH50_5178_S01	Sample 1	2
NBEAL2	1.55090066465	1.56801256537437	down	TH50_5178_S01	Sample 1	1
NDST2	1.33913738492	1.62225392460823	down	TH50_5178_S01	Sample 1	2
NDUFAF2	3.67129337248	4.24190670251846	down	TH50_5178_S01	Sample 1	6
NDUFS5	7.11977116195	7.74846255779266	down	TH50_5178_S01	Sample 1	6
NELFCD	3.57046293103	3.63036680221558	down	TH50_5178_S01	Sample 1	1
NGDN	3.15866017535	3.30056977272034	down	TH50_5178_S01	Sample 1	1
NISCH	2.77399632511	3.01199024915695	down	TH50_5178_S01	Sample 1	2
NLRP1	1.23266075679	1.2804271876812	down	TH50_5178_S01	Sample 1	1
NPIPA1	4.04351949366	4.25004506111145	down	TH50_5178_S01	Sample 1	4
NPIPA5	5.24031432933	5.25465369224548	down	TH50_5178_S01	Sample 1	2
NPIPP1	2.37851162325	3.28550291061401	down	TH50_5178_S01	Sample 1	2
NSA2	4.06350294231	4.41267538070679	down	TH50_5178_S01	Sample 1	2
NSUN5P1	2.03913839391	2.09311443567276	down	TH50_5178_S01	Sample 1	1
NUDC	4.33913738492	4.41889292001724	down	TH50_5178_S01	Sample 1	2
NUDCD2	1.9107326619	1.91111314296722	down	TH50_5178_S01	Sample 1	1
NUDT1	1.68257329735	2.00652471184731	down	TH50_5178_S01	Sample 1	1
NXF1	3.29130885983	3.693479180336	down	TH50_5178_S01	Sample 1	3
PAF1	3.61353165292	3.77159130573273	down	TH50_5178_S01	Sample 1	1
PAN2	2.9221978484	3.05763173103333	down	TH50_5178_S01	Sample 1	2
PDAP1	5.94110631095	6.1835116147995	down	TH50_5178_S01	Sample 1	6
PDCD5	5.27947129564	5.5819456577301	down	TH50_5178_S01	Sample 1	6
PDXDC2P	1.29278174923	1.31689962744713	down	TH50_5178_S01	Sample 1	1
PEF1	2.52356195606	2.58756428956985	down	TH50_5178_S01	Sample 1	1
PFDN2	4.50969584193	4.95587128400803	down	TH50_5178_S01	Sample 1	6
PI4KAP2	1.66902676551	1.82340186834335	down	TH50_5178_S01	Sample 1	3
PIDD1	1.72683121703	1.88563871383667	down	TH50_5178_S01	Sample 1	2
PIGG	2.29278174923	2.32407739758492	down	TH50_5178_S01	Sample 1	1
PKD1P6	3.84699468697	4.02189213037491	down	TH50_5178_S01	Sample 1	1
